,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
11,-524,845,874,3730.0,3607.21,3696.5386617704276,,62804.080783999976,1537.879216,0.03213273887399464,2017-09-21 16:00:00,2017-09-22 21:00:00,1 days 05:00:00,,-26.79278477588942,-47.71014241831364,65.50605671206317,62.60290610769903,38.7828004,36.03261645,24.89076966310496,32.349644967375106
12,386,940,1091,3937.84,4394.710154082203,3815.8939589114125,4394.710154082203,175065.3337319401,1286.5457437902924,0.1151740888458063,2017-09-25 15:00:00,2017-10-01 22:00:00,6 days 07:00:00,,27.40394128647291,6.881660621601246,51.27811113546539,52.585735851650476,29.035769250000005,30.406117599999998,31.294102654117665,16.673865691825064
13,901,940,1095,3937.84,4410.01,,,422416.60486,3008.5651400000006,0.11905787436767372,2017-09-25 15:00:00,2017-10-02 02:00:00,6 days 11:00:00,,27.40394128647291,17.164603625703496,51.27811113546539,59.4518201181537,29.035769250000005,31.30586985,31.294102654117665,24.900601728842677
14,469,1249,1280,4487.99,4885.462197976869,4381.997413872835,4885.462197976869,184656.0012188112,1758.4596323404608,0.08772809589541838,2017-10-08 12:00:00,2017-10-09 19:00:00,1 days 07:00:00,,27.72890507791169,39.40342325094639,45.079036299200766,52.31495768470776,16.446820549999998,23.5557299,42.466863566030426,48.048323854319335
15,1095,1249,1284,4487.99,4749.595276803357,4749.595276803357,,282411.71574843593,4046.0623512398706,0.05746675966137091,2017-10-08 12:00:00,2017-10-09 23:00:00,1 days 11:00:00,,27.72890507791169,53.436071718132546,45.079036299200766,62.53923277886663,16.446820549999998,29.18266825,42.466863566030426,50.99759010613599
16,785,1303,1307,4933.0,4782.782422064342,4782.782422064342,,-120971.5543600194,3050.755680528204,-0.031239385952662325,2017-10-10 18:00:00,2017-10-10 22:00:00,0 days 04:00:00,,43.61100907405806,42.59786713555859,65.27822955843887,64.38349345112907,38.72537065,40.37561265,34.950116801816705,33.155264470264946
17,336,1303,1307,4933.0,4782.782422064342,4782.782422064342,5515.315917258715,-51778.907343906394,1305.8011575254477,-0.031239385952662325,2017-10-10 18:00:00,2017-10-10 22:00:00,0 days 04:00:00,,43.61100907405806,42.59786713555859,65.27822955843887,64.38349345112907,38.72537065,40.37561265,34.950116801816705,33.155264470264946
18,287,1341,1357,5010.2,5454.201925807848,4891.79948645124,5454.201925807848,126227.2393657697,1201.313341082741,0.08778415333470224,2017-10-12 08:00:00,2017-10-13 00:00:00,0 days 16:00:00,,22.125600151761322,118.12042834435245,57.93829393255576,83.23205829899197,19.347087,64.57040435,24.001077206900934,56.18119947567496
19,1150,1341,1362,5010.2,5571.1603590238565,5571.1603590238565,,640236.9871122842,4867.425765150974,0.1111188804599112,2017-10-12 08:00:00,2017-10-13 05:00:00,0 days 21:00:00,,22.125600151761322,147.1952624130178,57.93829393255576,120.58244041174736,19.347087,82.8372041,24.001077206900934,61.10429745125952
20,806,1541,1610,5889.99,5709.722305882951,5709.722305882951,,-149035.50870575773,3739.7472474166634,-0.03139353021641834,2017-10-20 16:00:00,2017-10-23 13:00:00,2 days 21:00:00,,32.64709016061384,-18.410440604169498,75.25000070004839,88.16497420662448,76.89565730000001,63.485605750000005,23.267914638302557,16.634052250787263
21,201,1541,1610,5889.99,5709.722305882951,5709.722305882951,6565.99385293893,-37166.42338691973,932.6168693929894,-0.03139353021641834,2017-10-20 16:00:00,2017-10-23 13:00:00,2 days 21:00:00,,32.64709016061384,-18.410440604169498,75.25000070004839,88.16497420662448,76.89565730000001,63.485605750000005,23.267914638302557,16.634052250787263
22,-399,1648,1648,5298.98,5518.83088392708,5518.83088392708,,-89447.02530397999,1726.5226170747621,-0.042305879297648126,2017-10-25 03:00:00,2017-10-25 03:00:00,0 days 00:00:00,,-72.12428781702535,-72.12428781702535,102.19790151940627,102.19790151940627,95.2321625,95.2321625,41.8497731607673,41.8497731607673
23,-406,1648,1648,5298.98,5518.83088392708,5518.83088392708,5024.211395091149,-91016.27136194454,1756.8124875497579,-0.042305879297648126,2017-10-25 03:00:00,2017-10-25 03:00:00,0 days 00:00:00,,-72.12428781702535,-72.12428781702535,102.19790151940627,102.19790151940627,95.2321625,95.2321625,41.8497731607673,41.8497731607673
24,420,1803,1837,6334.03,6800.178410334847,6203.403090577374,6800.178410334847,193575.7853276997,2206.5470129362548,0.0727648474937304,2017-10-31 14:00:00,2017-11-02 00:00:00,1 days 10:00:00,,33.09784240348003,80.59834805303372,57.178804240897,76.29392729994166,51.676157450000005,76.20026614999999,33.655013110422445,45.160991982792865
25,981,1803,1839,6334.03,6758.758025910849,6758.758025910849,,411520.5833971757,5137.610021367417,0.06622812185930367,2017-10-31 14:00:00,2017-11-02 02:00:00,1 days 12:00:00,,33.09784240348003,86.98471342573599,57.178804240897,86.0714475188272,51.676157450000005,82.08073279999999,33.655013110422445,47.438588907112624
26,403,1849,2041,6887.66,6566.200089997037,6566.200089997037,,-131717.1059777015,2168.762246507523,-0.04745319223639981,2017-11-02 12:00:00,2017-11-10 12:00:00,8 days 00:00:00,,121.12561644053551,-32.50015074671118,149.24954851305137,120.92511733038242,95.94034085,87.04677515,47.61645284769047,21.825341205223715
27,172,1849,2041,6887.66,6566.200089997037,6566.200089997037,8093.847162511114,-56216.73009470139,925.6255741917962,-0.04745319223639981,2017-11-02 12:00:00,2017-11-10 12:00:00,8 days 00:00:00,,121.12561644053551,-32.50015074671118,149.24954851305137,120.92511733038242,95.94034085,87.04677515,47.61645284769047,21.825341205223715
28,-315,2042,2049,6610.25,6267.204648008852,6920.200281592917,6267.204648008852,106436.7265915625,1622.5592856491153,0.05111673085464918,2017-11-10 13:00:00,2017-11-10 20:00:00,0 days 07:00:00,,-44.61444002356787,-125.0281894715893,129.43046609249797,164.20179439906514,99.4944533,139.6122182,24.799052265668614,37.15638726422839
29,-312,2042,2050,6610.25,6569.517441334809,6569.517441334809,,11063.72332686113,1644.834976678584,0.005364494790462872,2017-11-10 13:00:00,2017-11-10 21:00:00,0 days 08:00:00,,-44.61444002356787,-137.43713490777557,129.43046609249797,176.39595194198907,99.4944533,147.73367615,24.799052265668614,38.21102367870538
30,-229,2080,2083,5949.96,5448.12625698948,6351.480994408415,5448.12625698948,113875.8624482689,1044.0647011402364,0.08357610950455545,2017-11-12 03:00:00,2017-11-12 06:00:00,0 days 03:00:00,,-139.21439734866112,-168.58011849078662,170.70734902706565,198.91948098121833,143.69716935000002,183.47785589999998,55.3614281411231,59.78128879221846
31,-229,2080,2084,5949.96,5866.34604283158,5866.34604283158,,18065.22255804476,1082.3736335233727,0.013258481527823286,2017-11-12 03:00:00,2017-11-12 07:00:00,0 days 04:00:00,,-139.21439734866112,-174.43533194696394,170.70734902706565,241.85380376827416,143.69716935000002,207.59958324999997,55.3614281411231,57.1775745424514
32,149,2157,2191,6850.23,7787.40828805978,6600.315789850725,7787.40828805978,138767.1616789389,872.4032419683629,0.13595503110764978,2017-11-15 08:00:00,2017-11-16 18:00:00,1 days 10:00:00,,86.30272006716945,130.9321305535654,100.06156940299323,123.32581461929827,52.138153149999994,90.364252,25.8080037639632,36.95231565880144
33,596,2157,2204,6850.23,7678.643929868341,7678.643929868341,,490271.0186566508,3463.6835448806123,0.12008390671501451,2017-11-15 08:00:00,2017-11-17 07:00:00,1 days 23:00:00,,86.30272006716945,164.661847539524,100.06156940299323,143.39225462033065,52.138153149999994,133.3938034,25.8080037639632,42.264586990677195
34,223,2375,2429,8149.15,9131.778666470746,7887.141022274468,9131.778666470746,217584.73378592712,1541.4588370491906,0.11973227821357534,2017-11-24 10:00:00,2017-11-26 16:00:00,2 days 06:00:00,,-9.486931425757792,135.93622942399824,107.02168781047372,100.80759884722792,183.52777039999998,163.92746155,24.89228208423084,46.774967777988756
35,523,2375,2432,8149.15,9068.800216961792,9068.800216961792,,477375.06828562904,3601.995185388407,0.11200714637416262,2017-11-24 10:00:00,2017-11-26 19:00:00,2 days 09:00:00,,-9.486931425757792,149.5226725294644,107.02168781047372,140.12936394583073,183.52777039999998,171.10103755,24.89228208423084,50.09777409534272
36,336,2491,2504,10001.51,9579.486713130422,9579.486713130422,,-144431.51034642308,2631.6859582447287,-0.042979078714597205,2017-11-29 06:00:00,2017-11-29 19:00:00,0 days 13:00:00,,111.88039527037799,200.1895779811298,210.18400980072963,414.44554584663234,251.4229257,487.76049985,31.702279263334567,45.38580806926474
37,144,2491,2504,10001.51,9579.486713130422,9579.486713130422,11616.207325760919,-61899.21871989561,1127.8654106763124,-0.042979078714597205,2017-11-29 06:00:00,2017-11-29 19:00:00,0 days 13:00:00,,111.88039527037799,200.1895779811298,210.18400980072963,414.44554584663234,251.4229257,487.76049985,31.702279263334567,45.38580806926474
38,91,2704,2706,16640.0,15088.201349094572,15088.201349094572,,-142368.583761501,1154.9065291070424,-0.09401982761088137,2017-12-08 03:00:00,2017-12-08 05:00:00,0 days 02:00:00,,721.5792088735071,699.95602361543,681.8229899336482,777.0831902999313,347.76319305,401.73576235,32.441939394586036,30.243685384550574
39,39,2704,2706,16640.0,15088.201349094572,15088.201349094572,22459.19744089536,-61015.10732635757,494.9599410458753,-0.09401982761088137,2017-12-08 03:00:00,2017-12-08 05:00:00,0 days 02:00:00,,721.5792088735071,699.95602361543,681.8229899336482,777.0831902999313,347.76319305,401.73576235,32.441939394586036,30.243685384550574
40,171,2919,2941,18901.74,18083.472958087652,18083.472958087652,,-142453.45273334498,2529.788566333196,-0.04407325077456281,2017-12-17 02:00:00,2017-12-18 00:00:00,0 days 22:00:00,,409.6255547443784,106.57401783132175,349.571831692278,451.16664314033744,189.92714640000003,410.29857895,44.478067418335726,26.34191288761226
41,73,2919,2941,18901.74,18083.472958087652,18083.472958087652,21970.193907171306,-60813.462277977684,1079.9682183761597,-0.04407325077456281,2017-12-17 02:00:00,2017-12-18 00:00:00,0 days 22:00:00,,409.6255547443784,106.57401783132175,349.571831692278,451.16664314033744,189.92714640000003,410.29857895,44.478067418335726,26.34191288761226
42,-71,3029,3044,14400.0,12685.262181548267,15771.790254761387,12685.262181548267,120977.16366411706,769.2214459559709,0.11832664677632732,2017-12-21 16:00:00,2017-12-22 07:00:00,0 days 15:00:00,,-212.78374293802335,-598.9290882979395,607.1143247588698,764.0403505446874,753.1986024,1383.8340958499998,29.083922372711484,43.62914590620089
43,-71,3029,3047,14400.0,14114.210363591377,14114.210363591377,,19481.260610686222,809.8035743259952,0.01905444112938796,2017-12-21 16:00:00,2017-12-22 10:00:00,0 days 18:00:00,,-212.78374293802335,-671.4118866261872,607.1143247588698,811.2067967006844,753.1986024,1440.0971135,29.083922372711484,43.91440968755048
44,-46,3052,3058,11980.53,14141.389060843496,14141.389060843496,,-99880.1601095203,480.64331071952034,-0.18123637505751689,2017-12-22 15:00:00,2017-12-22 21:00:00,0 days 06:00:00,,-741.8982614491795,-622.9770980234115,948.0938033025436,931.6402037170615,1569.39718325,1597.83715615,43.783538149313344,35.04174074234195
