,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
10,-5,673,673,259.97,240.03530551093013,274.5887759586513,240.03530551093013,98.67346183432763,1.0000106110218603,0.07591142195970889,2017-09-14 11:00:00,2017-09-14 11:00:00,0 days 00:00:00,,-3.7812091775307155,-3.7812091775307155,7.715262579950209,7.715262579950209,314.455015,314.455015,32.678285293055986,32.678285293055986
11,-5,673,699,259.97,227.0,256.6475509184884,,163.87606000000014,0.97394,0.1260730545832212,2017-09-14 11:00:00,2017-09-15 13:00:00,1 days 02:00:00,,-3.7812091775307155,-10.538787193751752,7.715262579950209,14.479756696490035,314.455015,593.430292,32.678285293055986,45.79783947265665
12,6,771,787,298.17,281.2602409460639,281.2602409460639,,-102.84918690188724,1.3906325782705533,-0.057489120804623345,2017-09-18 13:00:00,2017-09-19 05:00:00,0 days 16:00:00,,9.453300006905371,5.229775315493799,7.712235964323691,5.779734169110266,210.504641,116.612662,41.6949478344903,31.867961632957684
13,2,771,787,298.17,281.2602409460639,281.2602409460639,367.3462870388296,-34.283062300629076,0.46354419275685116,-0.057489120804623345,2017-09-18 13:00:00,2017-09-19 05:00:00,0 days 16:00:00,,9.453300006905371,5.229775315493799,7.712235964323691,5.779734169110266,210.504641,116.612662,41.6949478344903,31.867961632957684
14,-7,847,850,265.01,252.95451241538137,276.554690895387,252.95451241538137,82.93811245756726,1.4503006347630678,0.04470888562564604,2017-09-21 17:00:00,2017-09-21 20:00:00,0 days 03:00:00,,-2.0111821924103346,-3.6362352193266894,4.642174728572434,5.311963512636167,67.548946,87.9921925,21.646910722374596,30.836696564847315
15,-8,847,852,265.01,264.3007520692302,264.3007520692302,,3.980189039536681,1.6937944066215367,0.001877376815750637,2017-09-21 17:00:00,2017-09-21 22:00:00,0 days 05:00:00,,-2.0111821924103346,-4.610441137659548,4.642174728572434,5.0903154777322035,67.548946,85.62515599999999,21.646910722374596,34.675243065194344
16,3,898,1364,281.3,324.3994137475095,272.8801433061643,324.3994137475095,128.57140194603153,0.7268392964970115,0.15235383569857988,2017-09-23 20:00:00,2017-10-13 06:00:00,19 days 10:00:00,,4.308925517451155,0.39561032861611845,4.543510942203365,6.0696484025929935,96.915625,625.9068335,17.68725784486711,18.74905704408006
17,12,898,1379,281.3,336.19141110853593,336.19141110853593,,655.73297452911,2.9639587733209725,0.1942567171848294,2017-09-23 20:00:00,2017-10-13 21:00:00,20 days 01:00:00,,4.308925517451155,9.133671985703142,4.543510942203365,7.374047302543795,96.915625,780.3065895,17.68725784486711,46.75274603717544
18,-8,1482,1483,306.0,315.62211283090375,315.62211283090375,,-78.96609340828886,1.9891907610588921,-0.03225739109815732,2017-10-18 04:00:00,2017-10-18 05:00:00,0 days 01:00:00,,-4.87076033976236,-4.995823914190854,4.730242428628202,5.068082255154757,429.31462849999997,455.26132750000005,39.71308828371631,38.070535352220816
19,-8,1482,1483,306.0,315.62211283090375,315.62211283090375,291.7207552305858,-78.96609340828886,1.9891907610588921,-0.03225739109815732,2017-10-18 04:00:00,2017-10-18 05:00:00,0 days 01:00:00,,-4.87076033976236,-4.995823914190854,4.730242428628202,5.068082255154757,429.31462849999997,455.26132750000005,39.71308828371631,38.070535352220816
20,-9,1612,1612,272.29,281.1614683890326,281.1614683890326,,-81.83564078749392,1.9924252862005176,-0.0333939879407551,2017-10-23 14:00:00,2017-10-23 14:00:00,0 days 00:00:00,,-3.023448685864975,-3.023448685864975,4.93354185251378,4.93354185251378,364.0270835,364.0270835,28.072963303134365,28.072963303134365
21,-9,1612,1612,272.29,281.1614683890326,281.1614683890326,260.1216340149555,-81.83564078749392,1.9924252862005176,-0.0333939879407551,2017-10-23 14:00:00,2017-10-23 14:00:00,0 days 00:00:00,,-3.023448685864975,-3.023448685864975,4.93354185251378,4.93354185251378,364.0270835,364.0270835,28.072963303134365,28.072963303134365
22,17,1754,1825,304.59,297.92488219989684,297.92488219989684,,-117.40410380071255,4.097101198959299,-0.022673507839991735,2017-10-29 12:00:00,2017-11-01 11:00:00,2 days 23:00:00,,0.883455842126367,-1.1382654125473264,3.134627642900683,2.6590052241890203,312.1315775,382.340464,35.54476274424179,20.158014588065992
23,7,1754,1825,304.59,297.92488219989684,297.92488219989684,331.856391000422,-48.342866270881636,1.687041670159711,-0.022673507839991735,2017-10-29 12:00:00,2017-11-01 11:00:00,2 days 23:00:00,,0.883455842126367,-1.1382654125473264,3.134627642900683,2.6590052241890203,312.1315775,382.340464,35.54476274424179,20.158014588065992
24,-10,1839,1839,285.73,274.868949681964,293.7294368998931,274.868949681964,106.36810738163221,2.2423957987278564,0.03722679011011524,2017-11-02 01:00:00,2017-11-02 01:00:00,0 days 00:00:00,,-2.875157785714885,-2.875157785714885,4.374372717487331,4.374372717487331,490.8302275,490.8302275,33.67568599672203,33.67568599672203
25,-10,1839,1840,285.73,286.06,,,-5.587159999999841,2.28716,-0.001955398453084915,2017-11-02 01:00:00,2017-11-02 02:00:00,0 days 01:00:00,,-2.875157785714885,-3.116967206696616,4.374372717487331,4.527631809095378,490.8302275,505.86495350000007,33.67568599672203,35.28348914744976
26,-9,1972,1996,291.04,299.5217223879582,299.5217223879582,,-78.46152369222045,2.1260222005966494,-0.029954463568284052,2017-11-07 14:00:00,2017-11-08 14:00:00,1 days 00:00:00,,0.06173128455392254,0.4451590120405217,3.974298410501842,2.751959898368878,340.116828,317.906311,24.862860513214336,17.051793358766222
27,-9,1972,1996,291.04,299.5217223879582,299.5217223879582,279.4976512891479,-78.46152369222045,2.1260222005966494,-0.029954463568284052,2017-11-07 14:00:00,2017-11-08 14:00:00,1 days 00:00:00,,0.06173128455392254,0.4451590120405217,3.974298410501842,2.751959898368878,340.116828,317.906311,24.862860513214336,17.051793358766222
