Year,Buy_and_Hold [%],Scheme_A_Return [%],Scheme_A_Trades,Scheme_A_MaxDD [%],Scheme_B_Return [%],Scheme_B_Trades,Scheme_B_MaxDD [%],Scheme_C_Return [%],Scheme_C_Trades,Scheme_C_MaxDD [%]
2017,220.1,33.89,42,-7.08,40.6,50,-5.71,30.23,50,-10.01
2018,-72.03,47.78,118,-11.02,29.75,154,-15.5,35.74,146,-14.72
2019,94.64,75.63,142,-10.43,94.62,160,-10.28,94.65,154,-10.28
2020,300.08,61.42,146,-14.36,40.93,186,-19.2,53.04,170,-18.69
2021,59.21,21.28,142,-13.35,29.12,168,-11.3,16.56,168,-13.2
2022,-65.05,20.53,138,-10.2,20.07,176,-11.96,25.87,168,-12.02
2023,154.67,41.48,124,-10.2,28.93,158,-12.75,32.23,152,-11.38
2024,115.03,48.91,176,-13.79,74.97,178,-12.77,57.72,174,-15.04
2025,-7.38,-5.25,206,-15.51,0.05,224,-13.85,5.55,208,-10.97
